Madavara
Chikkabidarakallu
Manjunathnagar
Nagasandra
Dasarahalli
Jalahalli
Peenya Industry
Peenya
Goraguntepalya
Yeshwanthpur
Sandal Soap Factory
Mahalakshmi
Rajajinagar
Mahakavi Kuvempu Road
Srirampura
Mantri Square Sampige Road
Nadaprabhu Kempegowda Station, Majestic: (Interchange with Purple Line)
Chickpete
Krishna Rajendra Market
National College
Lalbagh
South End Circle
Jayanagar
Rashtreeya Vidyalaya Road
Banashankari
Jaya Prakash Nagar
Yelachenahalli
Konanakunte Cross
Doddakallasandra
Vajarahalli
Thalaghattapura
Silk Institute
